mass,G
49.383,-6.399
47.535,-6.301
45.718,-6.199
44.84,-6.183
43.144,-6.083
41.525,-5.985
40.724,-5.962
39.901,-5.936
38.312,-5.827
36.794,-5.814
37.544,-5.8
39.538,-5.69
38.728,-5.663
37.165,-5.638
37.938,-5.635
35.671,-5.609
34.95,-5.575
33.561,-5.467
32.239,-5.358
31.57,-5.32
30.917,-5.28
30.274,-5.241
29.642,-5.201
29.023,-5.162
28.416,-5.12
27.822,-5.079
26.671,-4.961
26.114,-4.922
25.569,-4.884
25.031,-4.845
26.813,-4.832
26.246,-4.789
25.145,-4.679
24.603,-4.637
24.074,-4.599
23.557,-4.562
23.046,-4.522
22.547,-4.475
22.059,-4.43
21.58,-4.384
21.107,-4.334
20.644,-4.312
20.192,-4.267
19.75,-4.223
19.316,-4.176
18.891,-4.129
18.472,-4.081
18.062,-4.057
17.662,-4.004
17.27,-3.944
16.886,-3.885
16.509,-3.846
16.141,-3.786
15.78,-3.724
14.403,-3.671
14.081,-3.641
13.764,-3.576
13.455,-3.534
13.152,-3.465
12.855,-3.424
12.563,-3.354
12.278,-3.311
12,-3.242
11.711,-3.19
11.426,-3.138
10.857,-3.11
10.608,-3.065
10.365,-3.02
10.127,-2.974
9.895,-2.895
9.691,-2.891
9.491,-2.854
9.295,-2.817
9.105,-2.781
8.909,-2.74
8.707,-2.686
8.508,-2.671
8.315,-2.619
8.126,-2.567
7.941,-2.514
7.76,-2.458
7.583,-2.367
7.411,-2.311
7.242,-2.222
7.077,-2.167
6.916,-2.145
6.759,-2.085
6.605,-2.026
6.455,-1.968
6.308,-1.908
6.164,-1.882
6.024,-1.82
6.308,-1.762
6.164,-1.73
6.024,-1.669
5.887,-1.634
5.753,-1.575
5.622,-1.513
5.494,-1.453
5.369,-1.417
5.247,-1.355
5.127,-1.293
5.011,-1.232
4.896,-1.194
4.785,-1.131
4.676,-1.067
4.785,-1.022
4.676,-0.98
4.57,-0.918
4.466,-0.875
4.364,-0.831
4.265,-0.767
4.168,-0.702
4.073,-0.636
3.98,-0.589
3.89,-0.524
3.801,-0.46
3.714,-0.411
3.63,-0.344
3.547,-0.295
3.467,-0.226
3.388,-0.176
3.467,-0.13
3.388,-0.065
3.311,-0.01
3.235,0.057
3.162,0.112
3.09,0.168
3.019,0.238
2.951,0.295
2.883,0.365
2.818,0.435
2.754,0.493
2.691,0.553
2.63,0.625
2.57,0.684
2.511,0.757
2.454,0.817
2.344,0.873
2.29,0.939
2.238,1.019
2.187,1.101
2.137,1.17
2.089,1.242
2.089,1.3
2.041,1.384
1.995,1.461
1.949,1.549
1.905,1.628
1.862,1.72
1.819,1.806
1.778,1.897
1.737,1.994
1.698,2.086
1.659,2.189
1.621,2.285
1.585,2.384
1.549,2.49
1.513,2.591
1.479,2.692
1.445,2.796
1.412,2.902
1.38,3.016
1.349,3.123
1.318,3.238
1.288,3.354
1.259,3.473
1.23,3.567
1.202,3.691
1.175,3.779
1.148,3.896
1.122,4.015
1.096,4.136
1.071,4.224
1.047,4.334
1.023,4.45
1.023,4.488
1,4.649
0.977,4.807
0.955,4.968
0.933,5.13
0.912,5.296
0.891,5.46
0.871,5.591
0.851,5.803
0.832,5.939
0.813,6.07
0.794,6.209
0.776,6.351
0.759,6.486
0.741,6.633
0.724,6.8
0.708,6.961
0.692,7.122
0.676,7.285
0.661,7.443
0.631,7.694
0.617,7.819
0.603,7.931
0.589,8.07
0.575,8.194
0.562,8.331
0.55,8.472
0.537,8.639
0.525,8.81
0.513,8.941
0.501,9.099
0.49,9.237
0.479,9.343
0.468,9.448
0.457,9.546
0.447,9.646
0.437,9.738
0.427,9.827
0.417,9.914
0.407,9.999
0.398,10.083
0.389,10.162
0.38,10.239
0.372,10.309
0.363,10.372
0.347,10.475
0.331,10.619
0.324,10.699
0.316,10.811
0.309,10.916
0.302,10.982
0.295,11.049
0.288,11.117
0.282,11.181
0.275,11.244
0.269,11.305
0.263,11.364
0.251,11.478
0.245,11.551
0.24,11.628
0.234,11.703
0.229,11.762
0.224,11.839
0.219,11.917
0.214,11.985
0.209,12.052
0.204,12.116
0.2,12.182
0.191,12.348
0.182,12.51
0.174,12.671
0.166,12.816
0.155,13.067
0.148,13.246
0.145,13.334
0.141,13.42
0.138,13.532
0.135,13.643
0.132,13.753
0.129,13.855
0.126,13.96
0.123,14.063
0.12,14.179
0.117,14.279
0.115,14.404
0.112,14.522
0.11,14.6
0.107,14.675
0.105,14.766
0.102,14.842
0.1,14.924
