WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rHo,PA
00014+3937,Hip97,20.42,1.91,1.241,1.7,2.384,1.609,1.723,1.836,0.84,0.895,0.953,0.768,0.828,0.883,Hip07,20.15,0.89,1.756,1.33,167
00021-6817,Hip97,63.03,1.98,0.129,1.058,5.853,1.027,1.107,1.187,0.563,0.604,0.652,0.464,0.503,0.535,EDR3,58.975,0.017,1.19,4.22,131
00028+0208,EDR3,23.347,0.018,0.259,2.106,11.665,1.817,1.963,2.107,1.023,1.113,1.21,0.794,0.85,0.897,EDR3,23.347,0.018,1.95,1.57,160
00047+3416,Hip97,6.13,1.59,1.005,3.898,18.022,3.444,4.057,5.275,1.777,2.089,2.762,1.667,1.968,2.513,Hip07,5.64,1.42,4.538,0.73,142
00048+3810,EDR3,10.97,0.04,0.642,1.919,6.269,1.773,1.875,1.979,0.919,0.972,1.025,0.854,0.902,0.954,EDR3,10.97,0.04,1.89,0.89,28
00057+4549,Hip97,85.1,2.74,0.372,1.121,3.69,1.125,1.207,1.303,0.565,0.606,0.655,0.56,0.601,0.649,Hip97,85.1,2.74,1.098,6.03,188
00063+5826,Hip97,49.3,1.05,1.998,2.189,2.398,1.769,1.872,1.989,0.938,0.994,1.057,0.831,0.879,0.932,Hip97,49.3,1.05,2.189,1.55,358
00093+7943,EDR3,9.338,0.059,3.401,4.151,5.039,3.509,3.894,4.302,1.772,1.97,2.181,1.737,1.924,2.121,EDR3,9.338,0.059,4.149,0.9,16
00094-2759,EDR3,14.599,0.041,1.148,4.149,15.516,3.239,3.562,3.958,1.637,1.8,2.002,1.603,1.761,1.956,EDR3,14.599,0.041,4.076,1.34,258
00098-3347,EDR3,17.481,0.036,0.21,1.719,9.511,1.62,1.724,1.834,0.877,0.931,0.985,0.743,0.793,0.849,Hip97,17.08,1.86,1.706,0.88,122
00162+7657,EDR3,5.448,0.041,1.701,5.085,16.565,4.34,5.04,5.857,2.251,2.652,3.057,2.089,2.389,2.8,EDR3,5.448,0.041,4.994,0.98,49
00209+3259,Hip97,14,1.32,0.821,2.569,8.734,2.368,2.598,2.869,1.306,1.432,1.583,1.062,1.166,1.285,Hip97,14,1.32,2.485,1.87,289
00209+1059,EDR3,5.211,0.079,1.757,5.25,17.22,4.197,4.757,5.438,2.508,2.889,3.354,1.689,1.867,2.084,EDR3,5.211,0.079,5.157,0.78,119
00214+6700,3rd light,5.017,0.013,1.459,4.366,14.278,3.631,4.008,4.599,2.017,2.234,2.627,1.614,1.774,1.971,3rd,5.017,0.013,4.289,0.61,165
00283+6344,Hip97,9.04,3.06,0.274,2.756,24.834,1.87,2.09,2.559,0.949,1.066,1.308,0.921,1.023,1.252,Hip97,9.04,3.06,2.339,0.25,108
00287+3718,Hip97,6.23,2.29,0.642,2.966,19.345,2.479,2.929,3.755,1.223,1.446,1.85,1.256,1.483,1.905,Hip97,6.23,2.29,2.596,0.53,39
00308+4732,3rd light,20.056,0.015,1.648,2.008,2.434,1.842,1.95,2.065,0.93,0.984,1.042,0.913,0.965,1.022,3rd,20.056,0.015,2.007,0.77,278
00310-1005,Hip07,12.5,1.36,0.677,2.134,7.394,1.91,2.039,2.235,0.941,1.005,1.094,0.97,1.034,1.141,Hip07,12.5,1.36,2.061,0.44,322
00321+6715,EDR3,100.401,0.037,0.096,0.783,4.327,0.658,0.743,0.817,0.41,0.454,0.495,0.248,0.289,0.322,EDR3,100.401,0.037,0.725,3.79,184
00335-5520,Hip97,6.34,3.4,0.663,3.931,43.93,2.743,3.434,5.323,1.454,1.837,2.964,1.289,1.597,2.37,Hip97,6.34,3.4,3.537,0.69,203
00427-3828,EDR3,7.966,0.105,0.603,4.945,27.077,3.756,4.168,4.752,1.974,2.187,2.556,1.782,1.981,2.196,EDR3,7.966,0.105,4.549,0.7,23
00429+2047,Hip97,7.34,1.88,1.011,2.066,5.096,1.948,2.168,2.539,0.969,1.073,1.259,0.98,1.096,1.28,Hip97,7.34,1.88,2.06,0.37,6
00491+5749,EDR3,168.72,0.021,1.298,1.583,1.92,1.534,1.629,1.765,0.969,1.023,1.111,0.565,0.606,0.653,EDR3,168.72,0.021,1.582,13.33,324
00504+5038,DR2,11.714,0.069,1.867,2.307,2.828,2.155,2.344,2.547,1.106,1.203,1.305,1.049,1.141,1.242,DR2,11.714,0.069,2.306,0.9,255
00521-1314,EDR3,18.818,0.028,1.179,1.438,1.743,1.475,1.569,1.67,0.764,0.816,0.865,0.711,0.753,0.805,EDR3,18.818,0.028,1.438,0.86,120
00524-6930,EDR3,16.576,0.014,1.397,3.138,10.979,2.562,2.789,3.041,1.371,1.494,1.636,1.192,1.296,1.406,EDR3,16.576,0.014,3.207,20.43,82
00550+2338,DR2,23.913,0.062,2.456,2.477,2.499,2.623,2.85,3.112,1.366,1.488,1.629,1.257,1.361,1.483,DR2,23.913,0.062,2.477,1.13,330
01028+0214,Hip97,11.43,1.69,1.08,1.651,2.686,1.676,1.809,1.95,0.881,0.948,1.022,0.795,0.861,0.927,Hip97,11.43,1.69,1.646,0.56,282
01030+4723,EDR3,9.279,0.034,0.444,3.647,20.111,3.106,3.42,3.765,1.769,1.965,2.174,1.337,1.455,1.591,EDR3,9.279,0.034,3.359,1.3,175
01032+2006,EDR3,62.765,0.026,0.113,0.817,4.527,0.694,0.772,0.864,0.401,0.446,0.488,0.293,0.326,0.376,EDR3,62.765,0.026,0.782,2.48,57
01106+5101,EDR3,12.002,0.078,1.031,3.088,10.112,2.588,2.81,3.067,1.335,1.452,1.588,1.253,1.358,1.479,EDR3,12.002,0.078,3.033,0.82,140
01158-6853,EDR3,47.509,0.05,1.663,1.711,1.761,1.515,1.616,1.718,0.786,0.84,0.888,0.729,0.776,0.83,EDR3,47.509,0.05,1.711,1.05,337
01151+3416,Hip07,9.65,1.28,0.733,2.373,8.422,1.959,2.136,2.34,1.056,1.168,1.301,0.904,0.968,1.04,Hip07,9.65,1.28,2.265,0.92,215
01158-6853,EDR3,47.648,0.02,0.995,2.176,7.547,2.021,2.179,2.342,1.216,1.32,1.434,0.806,0.859,0.908,EDR3,47.648,0.02,2.23,4.64,316
01191+8052,Hip07,6.4,0.59,2.552,3.406,4.647,3.156,3.519,3.93,1.769,1.99,2.236,1.387,1.529,1.694,Hip07,6.4,0.59,3.4,0.85,287
01200-1549,Hip97,19.67,1.58,1.819,2.548,3.576,2.144,2.347,2.572,1.104,1.208,1.321,1.04,1.139,1.251,Hip97,19.67,1.58,2.547,2.35,338
01218-2408,Hip07,11.62,1.45,0.293,2.467,14.443,1.985,2.149,2.379,1.019,1.116,1.235,0.967,1.033,1.144,Hip07,11.62,1.45,2.246,1.26,177
01388-1758,EDR3,371.924,0.415,0.242,0.245,0.249,0.255,0.278,0.306,0.132,0.144,0.159,0.123,0.134,0.147,EDR3,371.924,0.415,0.245,2.26,10
01409+4952,3rd light,12.271,0.024,0.584,1.751,5.737,1.633,1.733,1.837,0.829,0.876,0.929,0.805,0.858,0.907,3rd,12.271,0.024,1.723,0.45,357
01424-0645,Hip97,7.74,3.57,0.681,3.646,32.321,2.23,2.695,3.628,1.104,1.334,1.79,1.126,1.362,1.838,Hip97,7.74,3.57,3.189,0.79,253
