WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
00014+3937,H97,20.42,1.91,1.24,1.699,2.38,1.609,1.723,1.836,0.84,0.895,0.953,0.768,0.828,0.883,H07,20.15,0.89,1.756,1.33,167
00021-6817,H97,63.03,1.98,0.129,1.056,5.846,1.027,1.107,1.187,0.563,0.604,0.652,0.464,0.503,0.535,DR3,58.975,0.017,1.19,4.22,131
00028+0208,DR3,23.347,0.018,0.258,2.112,11.653,1.817,1.963,2.108,1.023,1.113,1.21,0.794,0.85,0.897,DR3,23.347,0.018,1.95,1.57,160
00047+3416,H97,6.13,1.59,1.009,3.89,17.946,3.446,4.057,5.275,1.779,2.089,2.762,1.668,1.969,2.513,H07,5.64,1.42,4.538,0.73,142
00048+3810,DR3,10.97,0.04,0.643,1.921,6.309,1.773,1.875,1.979,0.919,0.973,1.025,0.854,0.902,0.954,DR3,10.97,0.04,1.89,0.89,28
00057+4549,H97,85.1,2.74,0.373,1.119,3.676,1.125,1.207,1.303,0.565,0.607,0.654,0.56,0.601,0.648,H97,85.1,2.74,1.098,6.03,188
00063+5826,H97,49.3,1.05,1.997,2.189,2.398,1.769,1.872,1.989,0.938,0.994,1.057,0.831,0.879,0.932,H97,49.3,1.05,2.189,1.55,358
00093+7943,DR3,9.338,0.059,3.402,4.152,5.038,3.51,3.894,4.301,1.773,1.97,2.18,1.737,1.924,2.12,DR3,9.338,0.059,4.149,0.9,16
00094-2759,DR3,14.599,0.041,1.149,4.149,15.512,3.239,3.561,3.957,1.636,1.8,2.002,1.602,1.761,1.955,DR3,14.599,0.041,4.076,1.34,258
00098-3347,DR3,17.481,0.036,0.21,1.72,9.54,1.62,1.724,1.834,0.877,0.931,0.985,0.743,0.793,0.849,H97,17.08,1.86,1.706,0.88,122
00162+7657,DR3,5.448,0.041,1.699,5.09,16.704,4.34,5.039,5.857,2.251,2.651,3.057,2.089,2.388,2.8,DR3,5.448,0.041,4.994,0.98,49
00209+3259,H97,14.0,1.32,0.825,2.573,8.742,2.368,2.598,2.869,1.306,1.432,1.584,1.062,1.166,1.285,H97,14.0,1.32,2.485,1.87,289
00209+1059,DR3,5.211,0.079,1.751,5.236,17.108,4.199,4.756,5.439,2.509,2.889,3.355,1.689,1.867,2.085,DR3,5.211,0.079,5.157,0.78,119
00214+6700,3rd,5.017,0.013,1.456,4.368,14.293,3.631,4.009,4.602,2.017,2.234,2.629,1.614,1.774,1.972,3rd,5.017,0.013,4.289,0.61,165
00283+6344,H97,9.04,3.06,0.273,2.746,24.67,1.87,2.089,2.557,0.949,1.066,1.306,0.921,1.023,1.251,H97,9.04,3.06,2.339,0.25,108
00287+3718,H97,6.23,2.29,0.642,2.961,19.194,2.481,2.93,3.753,1.224,1.447,1.849,1.257,1.484,1.904,H97,6.23,2.29,2.596,0.53,39
00308+4732,3rd,20.056,0.015,1.647,2.008,2.436,1.842,1.95,2.065,0.93,0.984,1.042,0.912,0.965,1.022,3rd,20.056,0.015,2.007,0.77,278
00310-1005,H07,12.5,1.36,0.678,2.138,7.378,1.91,2.038,2.235,0.941,1.005,1.094,0.97,1.034,1.141,H07,12.5,1.36,2.061,0.44,322
00321+6715,DR3,100.401,0.037,0.096,0.782,4.313,0.658,0.743,0.817,0.41,0.454,0.495,0.248,0.289,0.323,DR3,100.401,0.037,0.725,3.79,184
00335-5520,H97,6.34,3.4,0.667,3.959,44.542,2.742,3.436,5.328,1.453,1.838,2.966,1.289,1.598,2.374,H97,6.34,3.4,3.537,0.69,203
00427-3828,DR3,7.966,0.105,0.604,4.931,27.245,3.755,4.168,4.752,1.974,2.187,2.556,1.782,1.981,2.195,DR3,7.966,0.105,4.549,0.7,23
00429+2047,H97,7.34,1.88,1.012,2.069,5.113,1.949,2.17,2.54,0.969,1.074,1.26,0.98,1.097,1.28,H97,7.34,1.88,2.06,0.37,6
00491+5749,DR3,168.72,0.021,1.298,1.583,1.919,1.534,1.629,1.765,0.969,1.023,1.111,0.565,0.606,0.653,DR3,168.72,0.021,1.582,13.33,324
00504+5038,dr2,11.714,0.069,1.867,2.307,2.825,2.155,2.344,2.548,1.106,1.203,1.305,1.049,1.141,1.242,dr2,11.714,0.069,2.306,0.9,255
00521-1314,DR3,18.818,0.028,1.18,1.439,1.744,1.475,1.569,1.67,0.764,0.816,0.866,0.711,0.753,0.805,DR3,18.818,0.028,1.438,0.86,120
00524-6930,DR3,16.576,0.014,1.396,3.134,10.943,2.562,2.789,3.041,1.37,1.494,1.635,1.191,1.296,1.406,DR3,16.576,0.014,3.207,20.43,82
